country,iso3,year,gdp_per_capita,norm_gdp_per_capita
Angola,AGO,1990,965.866840464665,-0.4511368486924208
Argentina,ARG,1990,4315.33403111588,-0.26891083243124453
Australia,AUS,1990,18249.3014538169,0.4891594007207185
Austria,AUT,1990,21596.068219998,0.6712385017964656
Belgium,BEL,1990,20600.3752789827,0.617068346445484
Bulgaria,BGR,1990,2366.52982128614,-0.3749345094570938
Bosnia and Herzegovina,BIH,1990,1742.88262171767,-0.4088637102108727
Bolivia,BOL,1990,682.67681029538,-0.46654365464253317
Brazil,BRA,1990,2581.14187449078,-0.36325865259058426
Canada,CAN,1990,21525.8611387148,0.6674189221417461
Switzerland,CHE,1990,39574.5398083788,1.6493478754781994
Chile,CHL,1990,2487.76829657299,-0.36833859341684544
China,CHN,1990,318.50335359039,-0.48635632169257526
Ivory Coast,CIV,1990,885.647842214928,-0.4555011214699875
Cameroon,CMR,1990,1086.71700937081,-0.4445620582583711
Colombia,COL,1990,1474.8455285342,-0.42344612852426217
Costa Rica,CRI,1990,1829.6687089559,-0.4041421583806418
Czech Republic,CZE,1990,3969.36733543794,-0.2877329701397129
Germany,DEU,1990,22385.6778250275,0.7141968006947783
Denmark,DNK,1990,26885.6994188191,0.9590181294167598
Algeria,DZA,1990,2445.18332740258,-0.3706554064628691
Ecuador,ECU,1990,1455.00748510871,-0.4245254069342532
Egypt,EGY,1990,735.982935028025,-0.4636435627176253
Spain,ESP,1990,13795.0159385128,0.2468263195043248
France,FRA,1990,21586.4674617483,0.6707161775492503
Ghana,GHA,1990,382.54246368354,-0.4828723072947758
Greece,GRC,1990,9466.66238502174,0.011344501015685406
Honduras,HND,1990,988.459273781288,-0.4499077191364051
Croatia,HRV,1990,5369.10978590681,-0.21158071187830033
Republic of Ireland,IRL,1990,14031.3025675469,0.25968137036878625
Iran,IRN,1990,2137.94222739878,-0.3873706983282923
Iceland,ISL,1990,25384.9150226302,0.8773687367767122
Italy,ITA,1990,20873.7834092719,0.631942973232418
Jamaica,JAM,1990,1929.59891905857,-0.3987055073986654
Japan,JPN,1990,25801.3950393094,0.9000271149521027
South Korea,KOR,1990,6609.99728316175,-0.14407087452739153
Morocco,MAR,1990,1229.07104492188,-0.43681736117055453
Mexico,MEX,1990,3154.46920349038,-0.33206707816081793
Nigeria,NGA,1990,556.376449130902,-0.4734149599449374
Netherlands,NLD,1990,21322.1944802703,0.6563385437707756
Norway,NOR,1990,28242.981402822,1.0328603481368739
New Zealand,NZL,1990,13663.0216184298,0.23964523733550638
Panama,PAN,1990,2620.13827266274,-0.36113707387882826
Peru,PER,1990,1199.66666756615,-0.43841709099060794
Poland,POL,1990,1731.2095094382,-0.409498779798655
North Korea,PRK,1990,,
Portugal,PRT,1990,7884.61798756332,-0.0747257996284928
Paraguay,PRY,1990,1440.15829610029,-0.4253332693206251
Qatar,QAT,1990,16721.6207714589,0.4060467296540317
Romania,ROU,1990,1648.48522974542,-0.41399935110700087
Russia,RUS,1990,3494.06323242188,-0.31359164206429696
Saudi Arabia,SAU,1990,11054.7495049666,0.09774355282636225
Senegal,SEN,1990,957.314337438177,-0.4516021431607257
Serbia,SRB,1990,2349.40645150289,-0.3758660974628751
Slovakia,SVK,1990,2437.17517010845,-0.37109108608539987
Slovenia,SVN,1990,9925.14071044684,0.03628777528255997
Sweden,SWE,1990,30549.6692751763,1.1583544992395662
Togo,TGO,1990,575.094511928654,-0.472396613497096
Trinidad and Tobago,TTO,1990,4047.25093594674,-0.28349575345868117
Tunisia,TUN,1990,1476.43160477311,-0.42335983887338585
Turkey,TUR,1990,2689.52621921233,-0.3573620588222345
Ukraine,UKR,1990,1563.63415527344,-0.41861562957650367
Uruguay,URY,1990,2995.36105663465,-0.34072327393940105
United States,USA,1990,23888.6000088133,0.7959624985544989
South Africa,ZAF,1990,3093.48920352334,-0.3353846632670747
Angola,AGO,1991,881.919488130062,-0.4557039606301955
Argentina,ARG,1991,5709.24784079504,-0.19307567833323172
Australia,AUS,1991,18859.9074576986,0.5223791020221917
Austria,AUT,1991,22323.1312492943,0.7107939868506986
Belgium,BEL,1991,21041.6606519648,0.6410762470982506
Bulgaria,BGR,1991,883.736578319325,-0.4556051027857895
Bosnia and Herzegovina,BIH,1991,1373.37104472973,-0.4289667949118773
Bolivia,BOL,1991,733.935487602519,-0.46375495302737235
Brazil,BRA,1991,2257.6092968885,-0.3808602738011837
Canada,CAN,1991,21846.7930471354,0.6848790553013763
Switzerland,CHE,1991,39544.4946826768,1.6477132860784214
Chile,CHL,1991,2798.34262413795,-0.351441959043737
China,CHN,1991,334.130288119078,-0.48550614646665113
Ivory Coast,CIV,1991,827.241889166985,-0.4586786668955913
Cameroon,CMR,1991,1014.82897292999,-0.44847308940207425
Colombia,COL,1991,1499.71104164399,-0.4220933332471703
Costa Rica,CRI,1991,2253.38191508071,-0.38109026230448917
Czech Republic,CZE,1991,2917.08655474323,-0.3449817574063576
Germany,DEU,1991,23443.3350818536,0.771738092342323
Denmark,DNK,1991,27002.8057705804,0.965389239430885
Algeria,DZA,1991,1759.11201648229,-0.4079807584499057
