iso3,country,hdicode,region,hdi_rank_2023,year,hdi,norm_hdi
DZA,Algeria,High,AS,96.0,1990,0.595,-0.4781117949358031
AGO,Angola,Medium,SSA,148.0,1990,0.379,-1.7818312931223532
ARG,Argentina,Very High,LAC,47.0,1990,0.733,0.3548201066833819
AUS,Australia,Very High,Developed,7.0,1990,0.867,1.1636090546324456
AUT,Austria,Very High,Developed,22.0,1990,0.832,0.952358210018884
BEL,Belgium,Very High,Developed,10.0,1990,0.824,0.9040723026786414
BOL,Bolivia,High,LAC,108.0,1990,0.552,-0.7376485468896067
BIH,Bosnia and Herzegovina,Very High,ECA,74.0,1990,0.674,-0.0012884599509069726
BRA,Brazil,High,LAC,84.0,1990,0.641,-0.20046782772940788
BGR,Bulgaria,Very High,Developed,55.0,1990,0.706,0.19185516941006295
CMR,Cameroon,Medium,SSA,155.0,1990,0.448,-1.3653653423127607
CAN,Canada,Very High,Developed,16.0,1990,0.865,1.1515375777973849
CHL,Chile,Very High,LAC,45.0,1990,0.718,0.2642840304204269
CHN,China,High,EAP,78.0,1990,0.491,-1.1058285903589569
COL,Colombia,High,LAC,83.0,1990,0.623,-0.3091111192449538
CRI,Costa Rica,Very High,LAC,62.0,1990,0.677,0.01681875530168402
HRV,Croatia,Very High,Developed,41.0,1990,0.713,0.23410533833277525
CZE,Czech Republic,Very High,Developed,29.0,1990,0.753,0.4755348750339885
CIV,Ivory Coast,Medium,SSA,157.0,1990,0.389,-1.7214739089470499
DNK,Denmark,Very High,Developed,4.0,1990,0.844,1.024787071029248
ECU,Ecuador,High,LAC,88.0,1990,0.646,-0.17028913564175624
EGY,Egypt,High,AS,100.0,1990,0.572,-0.6169337785390007
FRA,France,Very High,Developed,26.0,1990,0.798,0.7471431038228534
DEU,Germany,Very High,Developed,5.0,1990,0.834,0.9644296868539446
GHA,Ghana,Medium,SSA,143.0,1990,0.432,-1.461937156993246
GRC,Greece,Very High,Developed,34.0,1990,0.77,0.5781424281320041
HND,Honduras,Medium,LAC,139.0,1990,0.516,-0.9549351299206986
ISL,Iceland,Very High,Developed,1.0,1990,0.841,1.006679855776657
IRN,Iran,High,SA,75.0,1990,0.626,-0.29100390399236287
IRL,Republic of Ireland,Very High,Developed,11.0,1990,0.776,0.6143568586371861
ITA,Italy,Very High,Developed,29.0,1990,0.787,0.6807499812300197
JAM,Jamaica,High,LAC,117.0,1990,0.662,-0.07371732096127094
JPN,Japan,Very High,Developed,23.0,1990,0.853,1.0791087167870208
PRK,North Korea,Other Countries or Territories,EAP,,1990,0.57512,-0.5981022746763061
KOR,South Korea,Very High,Developed,20.0,1990,0.738,0.38499879877103355
MEX,Mexico,High,LAC,81.0,1990,0.668,-0.037502890456088955
MAR,Morocco,High,AS,120.0,1990,0.451,-1.3472581270601698
NLD,Netherlands,Very High,Developed,8.0,1990,0.855,1.0911801936220815
NZL,New Zealand,Very High,Developed,17.0,1990,0.811,0.8256077032507477
NGA,Nigeria,Medium,SSA,164.0,1990,0.379,-1.7818312931223532
NOR,Norway,Very High,Developed,2.0,1990,0.856,1.097215932039612
PAN,Panama,Very High,LAC,59.0,1990,0.672,-0.013359936785967634
PRY,Paraguay,High,LAC,99.0,1990,0.607,-0.40568293392543914
PER,Peru,High,LAC,79.0,1990,0.625,-0.29703964240989317
POL,Poland,Very High,Developed,35.0,1990,0.722,0.28842698409054823
PRT,Portugal,Very High,Developed,40.0,1990,0.707,0.19789090782759328
QAT,Qatar,Very High,AS,43.0,1990,0.767,0.5600352128794132
ROU,Romania,Very High,Developed,55.0,1990,0.719,0.2703197688379572
RUS,Russia,Very High,Developed,64.0,1990,0.762,0.5298565207917615
SAU,Saudi Arabia,Very High,AS,37.0,1990,0.67,-0.025431413621028295
SEN,Senegal,Low,SSA,169.0,1990,0.377,-1.793902769957414
SRB,Serbia,Very High,ECA,62.0,1990,0.686,0.071140401059457
SVK,Slovakia,Very High,Developed,44.0,1990,0.698,0.1435692620698203
SVN,Slovenia,Very High,Developed,21.0,1990,0.734,0.36085584510091223
ZAF,South Africa,High,SSA,106.0,1990,0.633,-0.24875373506965054
ESP,Spain,Very High,Developed,28.0,1990,0.766,0.5539994744618828
SWE,Sweden,Very High,Developed,5.0,1990,0.818,0.8678578721734593
CHE,Switzerland,Very High,Developed,2.0,1990,0.858,1.1092874088746725
TGO,Togo,Medium,SSA,161.0,1990,0.412,-1.5826519253438527
TTO,Trinidad and Tobago,Very High,LAC,72.0,1990,0.661,-0.07975305937880127
TUN,Tunisia,High,AS,105.0,1990,0.569,-0.6350409937915917
TUR,Turkey,Very High,ECA,51.0,1990,0.598,-0.4600045796832121
UKR,Ukraine,High,ECA,87.0,1990,0.75,0.4574276597813975
USA,United States,Very High,Developed,17.0,1990,0.878,1.2300021772252792
URY,Uruguay,Very High,LAC,48.0,1990,0.713,0.23410533833277525
DZA,Algeria,High,AS,96.0,1991,0.596,-0.4720760565182728
AGO,Angola,Medium,SSA,148.0,1991,0.379,-1.7818312931223532
ARG,Argentina,Very High,LAC,47.0,1991,0.739,0.39103453718856385
AUS,Australia,Very High,Developed,7.0,1991,0.868,1.1696447930499758
AUT,Austria,Very High,Developed,22.0,1991,0.835,0.970465425271475
BEL,Belgium,Very High,Developed,10.0,1991,0.829,0.9342509947662929
BOL,Bolivia,High,LAC,108.0,1991,0.561,-0.6833269011318337
BIH,Bosnia and Herzegovina,Very High,ECA,74.0,1991,0.674,-0.0012884599509069726
BRA,Brazil,High,LAC,84.0,1991,0.645,-0.17632487405928657
BGR,Bulgaria,Very High,Developed,55.0,1991,0.706,0.19185516941006295
CMR,Cameroon,Medium,SSA,155.0,1991,0.445,-1.3834725575653517
CAN,Canada,Very High,Developed,16.0,1991,0.868,1.1696447930499758
CHL,Chile,Very High,LAC,45.0,1991,0.723,0.2944627225080786
CHN,China,High,EAP,78.0,1991,0.499,-1.0575426830187142
COL,Colombia,High,LAC,83.0,1991,0.63,-0.26686095032224155
CRI,Costa Rica,Very High,LAC,62.0,1991,0.682,0.04699744738933567
HRV,Croatia,Very High,Developed,41.0,1991,0.713,0.23410533833277525
CZE,Czech Republic,Very High,Developed,29.0,1991,0.751,0.46346339819892785
CIV,Ivory Coast,Medium,SSA,157.0,1991,0.39,-1.7154381705295196
DNK,Denmark,Very High,Developed,4.0,1991,0.848,1.0489300246993694
ECU,Ecuador,High,LAC,88.0,1991,0.649,-0.15218192038916525
EGY,Egypt,High,AS,100.0,1991,0.578,-0.5807193480338187
FRA,France,Very High,Developed,26.0,1991,0.807,0.8014647495806263
