iso3,country,hdicode,region,hdi_rank_2023,year,life_expectancy,norm_life_expectancy
DZA,Algeria,High,AS,96.0,1990,67.658,-0.10178467268754632
AGO,Angola,Medium,SSA,148.0,1990,41.854,-2.8077636784520483
ARG,Argentina,Very High,LAC,47.0,1990,71.615,0.3131726566338812
AUS,Australia,Very High,Developed,7.0,1990,77.041,0.8821790930498706
AUT,Austria,Very High,Developed,22.0,1990,75.739,0.7456427163057472
BEL,Belgium,Very High,Developed,10.0,1990,76.059,0.77920004392335
BOL,Bolivia,High,LAC,108.0,1990,56.797,-1.2407413453587703
BIH,Bosnia and Herzegovina,Very High,ECA,74.0,1990,71.509,0.3020567918605506
BRA,Brazil,High,LAC,84.0,1990,65.862,-0.29012517394134657
BGR,Bulgaria,Very High,Developed,55.0,1990,71.321,0.2823418618852083
CMR,Cameroon,Medium,SSA,155.0,1990,54.348,-1.4975597682822417
CAN,Canada,Very High,Developed,16.0,1990,77.433,0.923286819381436
CHL,Chile,Very High,LAC,45.0,1990,73.675,0.5291979531722039
CHN,China,High,EAP,78.0,1990,68.155,-0.049665948231455904
COL,Colombia,High,LAC,83.0,1990,68.701,0.00759124201607924
CRI,Costa Rica,Very High,LAC,62.0,1990,76.094,0.782870376631525
HRV,Croatia,Very High,Developed,41.0,1990,72.243,0.37902891208342804
CZE,Czech Republic,Very High,Developed,29.0,1990,71.409,0.29157012698005014
CIV,Ivory Coast,Medium,SSA,157.0,1990,52.796,-1.6603128072276188
DNK,Denmark,Very High,Developed,4.0,1990,74.865,0.6539892652501667
ECU,Ecuador,High,LAC,88.0,1990,68.445,-0.019254620078003576
EGY,Egypt,High,AS,100.0,1990,62.513,-0.6413235807893278
FRA,France,Very High,Developed,26.0,1990,76.835,0.860576563396038
DEU,Germany,Very High,Developed,5.0,1990,75.341,0.7039057900813518
GHA,Ghana,Medium,SSA,143.0,1990,55.395,-1.3877643869833949
GRC,Greece,Very High,Developed,34.0,1990,77.299,0.9092346884415644
HND,Honduras,Medium,LAC,139.0,1990,65.183,-0.3613296284799477
ISL,Iceland,Very High,Developed,1.0,1990,77.741,0.9555857472133785
IRN,Iran,High,SA,75.0,1990,64.066,-0.4784656751951454
IRL,Republic of Ireland,Very High,Developed,11.0,1990,74.838,0.6511578657324313
ITA,Italy,Very High,Developed,29.0,1990,76.994,0.8772503605560354
JAM,Jamaica,High,LAC,117.0,1990,71.705,0.3226106550263325
JPN,Japan,Very High,Developed,23.0,1990,78.993,1.0868787915172518
PRK,North Korea,Other Countries or Territories,EAP,,1990,70.484,0.19456847683541384
KOR,South Korea,Very High,Developed,20.0,1990,70.994,0.24805046772596992
MEX,Mexico,High,LAC,81.0,1990,69.034,0.0425118360681492
MAR,Morocco,High,AS,120.0,1990,62.396,-0.6535929786995138
NLD,Netherlands,Very High,Developed,8.0,1990,77.012,0.8791379602345256
NZL,New Zealand,Very High,Developed,17.0,1990,75.425,0.712714588580973
NGA,Nigeria,Medium,SSA,164.0,1990,45.733,-2.400985947737411
NOR,Norway,Very High,Developed,2.0,1990,76.586,0.8344647678435908
PAN,Panama,Very High,LAC,59.0,1990,71.266,0.2765741962009335
PRY,Paraguay,High,LAC,99.0,1990,67.341,-0.13502740035873553
PER,Peru,High,LAC,79.0,1990,63.979,-0.4875890736411817
POL,Poland,Very High,Developed,35.0,1990,70.606,0.20736220798962515
PRT,Portugal,Very High,Developed,40.0,1990,74.304,0.5951590752705563
QAT,Qatar,Very High,AS,43.0,1990,73.405,0.5008839579948514
ROU,Romania,Very High,Developed,55.0,1990,69.841,0.12713922165379174
RUS,Russia,Very High,Developed,64.0,1990,69.279,0.06820416502537585
SAU,Saudi Arabia,Very High,AS,37.0,1990,68.874,0.025733172259346317
