iso3,country,hdicode,region,hdi_rank_2023,year,mean_school_years,norm_mean_school_years
DZA,Algeria,High,AS,96.0,1990,3.91709246,-1.1633548948321055
AGO,Angola,Medium,SSA,148.0,1990,3.387140553,-1.3235107570307876
ARG,Argentina,Very High,LAC,47.0,1990,8.122559492,0.10757212620811347
AUS,Australia,Very High,Developed,7.0,1990,11.22535724,1.04526334308125
AUT,Austria,Very High,Developed,22.0,1990,10.20007837,0.7354155639714741
BEL,Belgium,Very High,Developed,10.0,1990,9.404695261,0.4950441908005057
BOL,Bolivia,High,LAC,108.0,1990,5.993602746,-0.5358162619373245
BIH,Bosnia and Herzegovina,Very High,ECA,74.0,1990,6.612996281,-0.34863039784680294
BRA,Brazil,High,LAC,84.0,1990,3.685051873,-1.2334794849792512
BGR,Bulgaria,Very High,Developed,55.0,1990,6.810661453,-0.28889434325362495
CMR,Cameroon,Medium,SSA,155.0,1990,2.137363225,-1.7012038323426295
CAN,Canada,Very High,Developed,16.0,1990,10.74872914,0.9012223776741388
CHL,Chile,Very High,LAC,45.0,1990,8.384781038,0.1868176525133925
CHN,China,High,EAP,78.0,1990,4.139999866,-1.0959904277420724
COL,Colombia,High,LAC,83.0,1990,6.346991442,-0.42901926667875645
CRI,Costa Rica,Very High,LAC,62.0,1990,6.808398879,-0.2895781118842721
HRV,Croatia,Very High,Developed,41.0,1990,6.566150529,-0.36278757268249173
CZE,Czech Republic,Very High,Developed,29.0,1990,9.105088587,0.4045005687073603
CIV,Ivory Coast,Medium,SSA,157.0,1990,1.970933041,-1.7515004144707986
DNK,Denmark,Very High,Developed,4.0,1990,11.48003458,1.1222289477548208
ECU,Ecuador,High,LAC,88.0,1990,6.75,-0.30722673753150764
EGY,Egypt,High,AS,100.0,1990,5.302696833,-0.744613759848173
FRA,France,Very High,Developed,26.0,1990,7.550000191,-0.0654600438818603
DEU,Germany,Very High,Developed,5.0,1990,10.3635898,0.7848300744300418
GHA,Ghana,Medium,SSA,143.0,1990,4.183136892,-1.0829540606671315
GRC,Greece,Very High,Developed,34.0,1990,7.812785756,0.013955933643705891
HND,Honduras,Medium,LAC,139.0,1990,3.864076634,-1.1793767172108016
ISL,Iceland,Very High,Developed,1.0,1990,10.50758987,0.828348090051638
IRN,Iran,High,SA,75.0,1990,5.738688277,-0.6128535289616589
IRL,Republic of Ireland,Very High,Developed,11.0,1990,9.132083385,0.4126586205823757
ITA,Italy,Very High,Developed,29.0,1990,7.438088771,-0.09928060330099782
JAM,Jamaica,High,LAC,117.0,1990,6.687517327,-0.326109519600246
JPN,Japan,Very High,Developed,23.0,1990,11.64000034,1.170571927328376
PRK,North Korea,Other Countries or Territories,EAP,,1990,6.2526795482,-0.45752110329377144
KOR,South Korea,Very High,Developed,20.0,1990,9.270000458,0.4543383040526603
MEX,Mexico,High,LAC,81.0,1990,5.949999809,-0.548993431181155
MAR,Morocco,High,AS,120.0,1990,2.11,-1.7094732259131136
NLD,Netherlands,Very High,Developed,8.0,1990,11.10278685,1.0082215545129172
NZL,New Zealand,Very High,Developed,17.0,1990,10.13968275,0.7171635066312523
