ID,Year,Date,Stage,clean_stage,home_or_away,Team,Goals,penalty_winner,goals_against,match_win,penalty_win,win
516,1994,1994-07-17,Final,6,Away,Italy,0,Brazil,0,0,0,0
516,1994,1994-07-17,Final,6,Home,Brazil,0,Brazil,0,0,1,1
515,1994,1994-07-16,Third place,5,Away,Bulgaria,0,,4,0,0,0
515,1994,1994-07-16,Third place,5,Home,Sweden,4,,0,1,0,1
513,1994,1994-07-13,Semi-finals,4,Away,Italy,2,,1,1,0,1
513,1994,1994-07-13,Semi-finals,4,Home,Bulgaria,1,,2,0,0,0
514,1994,1994-07-13,Semi-finals,4,Away,Brazil,1,,0,1,0,1
514,1994,1994-07-13,Semi-finals,4,Home,Sweden,0,,1,0,0,0
509,1994,1994-07-09,Quarter-finals,3,Away,Spain,1,,2,0,0,0
509,1994,1994-07-09,Quarter-finals,3,Home,Italy,2,,1,1,0,1
510,1994,1994-07-09,Quarter-finals,3,Away,Brazil,3,,2,1,0,1
510,1994,1994-07-09,Quarter-finals,3,Home,Netherlands,2,,3,0,0,0
511,1994,1994-07-10,Quarter-finals,3,Away,Germany,1,,2,0,0,0
511,1994,1994-07-10,Quarter-finals,3,Home,Bulgaria,2,,1,1,0,1
512,1994,1994-07-10,Quarter-finals,3,Away,Sweden,2,Sweden,2,0,1,1
512,1994,1994-07-10,Quarter-finals,3,Home,Romania,2,Sweden,2,0,0,0
501,1994,1994-07-02,Round of 16,2,Away,Belgium,2,,3,0,0,0
501,1994,1994-07-02,Round of 16,2,Home,Germany,3,,2,1,0,1
502,1994,1994-07-02,Round of 16,2,Away,Switzerland,0,,3,0,0,0
502,1994,1994-07-02,Round of 16,2,Home,Spain,3,,0,1,0,1
503,1994,1994-07-03,Round of 16,2,Away,Sweden,3,,1,1,0,1
503,1994,1994-07-03,Round of 16,2,Home,Saudi Arabia,1,,3,0,0,0
504,1994,1994-07-03,Round of 16,2,Away,Argentina,2,,3,0,0,0
504,1994,1994-07-03,Round of 16,2,Home,Romania,3,,2,1,0,1
505,1994,1994-07-04,Round of 16,2,Away,Republic of Ireland,0,,2,0,0,0
505,1994,1994-07-04,Round of 16,2,Home,Netherlands,2,,0,1,0,1
506,1994,1994-07-04,Round of 16,2,Away,Brazil,1,,0,1,0,1
506,1994,1994-07-04,Round of 16,2,Home,United States,0,,1,0,0,0
507,1994,1994-07-05,Round of 16,2,Away,Italy,2,,1,1,0,1
507,1994,1994-07-05,Round of 16,2,Home,Nigeria,1,,2,0,0,0
508,1994,1994-07-05,Round of 16,2,Away,Bulgaria,1,Bulgaria,1,0,1,1
508,1994,1994-07-05,Round of 16,2,Home,Mexico,1,Bulgaria,1,0,0,0
465,1994,1994-06-17,Group stage,1,Away,Bolivia,0,,1,0,0,0
465,1994,1994-06-17,Group stage,1,Home,Germany,1,,0,1,0,1
466,1994,1994-06-17,Group stage,1,Away,South Korea,2,,2,0,0,0
