world_cup_year,host_country,team,max_stage,max_stage_numeric,matches_played,matches_won,goals_for,goals_against,start_date,Big5_flag,rank_date,clean_country,rank
1994,USA,Algeria,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,Algeria,48.0
1998,France,Algeria,Did not qualify,0.0,0.0,0.0,0,0,1998-06-10,,1998-05-20,Algeria,57.0
2002,Korea/Japan,Algeria,Did not qualify,0.0,0.0,0.0,0,0,2002-05-31,,2002-05-15,Algeria,79.0
2006,Germany,Algeria,Did not qualify,0.0,0.0,0.0,0,0,2006-06-09,,2006-05-17,Algeria,87.0
2010,South Africa,Algeria,Group stage,1.0,3.0,0.0,0,2,2010-06-11,0.4782608695652174,2010-05-26,Algeria,30.0
2014,Brazil,Algeria,Round of 16,2.0,4.0,1.0,7,7,2014-06-12,0.4782608695652174,2014-06-05,Algeria,22.0
2018,Russia,Algeria,Did not qualify,0.0,0.0,0.0,0,0,2018-06-14,,2018-06-07,Algeria,66.0
2022,Qatar,Algeria,Did not qualify,0.0,0.0,0.0,0,0,2022-11-20,,2022-10-06,Algeria,37.0
1994,USA,Angola,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,Angola,124.0
1998,France,Angola,Did not qualify,0.0,0.0,0.0,0,0,1998-06-10,,1998-05-20,Angola,56.0
2002,Korea/Japan,Angola,Did not qualify,0.0,0.0,0.0,0,0,2002-05-31,,2002-05-15,Angola,58.0
2006,Germany,Angola,Group stage,1.0,3.0,0.0,1,2,2006-06-09,0.0,2006-05-17,Angola,57.0
2010,South Africa,Angola,Did not qualify,0.0,0.0,0.0,0,0,2010-06-11,,2010-05-26,Angola,88.0
2014,Brazil,Angola,Did not qualify,0.0,0.0,0.0,0,0,2014-06-12,,2014-06-05,Angola,93.0
2018,Russia,Angola,Did not qualify,0.0,0.0,0.0,0,0,2018-06-14,,2018-06-07,Angola,137.0
2022,Qatar,Angola,Did not qualify,0.0,0.0,0.0,0,0,2022-11-20,,2022-10-06,Angola,119.0
1994,USA,Argentina,Round of 16,2.0,4.0,2.0,8,6,1994-06-17,0.3636363636363636,1994-06-14,Argentina,8.0
1998,France,Argentina,Quarter-finals,3.0,5.0,4.0,10,4,1998-06-10,0.7272727272727273,1998-05-20,Argentina,6.0
2002,Korea/Japan,Argentina,Group stage,1.0,3.0,1.0,2,2,2002-05-31,0.7391304347826086,2002-05-15,Argentina,3.0
2006,Germany,Argentina,Quarter-finals,3.0,5.0,3.0,11,3,2006-06-09,0.7391304347826086,2006-05-17,Argentina,9.0
2010,South Africa,Argentina,Quarter-finals,3.0,5.0,4.0,10,6,2010-06-11,0.6086956521739131,2010-05-26,Argentina,7.0
2014,Brazil,Argentina,Runners-up,6.0,7.0,6.0,8,4,2014-06-12,0.6956521739130435,2014-06-05,Argentina,5.0
2018,Russia,Argentina,Round of 16,2.0,4.0,1.0,6,9,2018-06-14,0.6086956521739131,2018-06-07,Argentina,5.0
2022,Qatar,Argentina,Winner,7.0,7.0,6.0,15,8,2022-11-20,0.8076923076923077,2022-10-06,Argentina,3.0
1994,USA,Australia,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,Australia,47.0
1998,France,Australia,Did not qualify,0.0,0.0,0.0,0,0,1998-06-10,,1998-05-20,Australia,32.0
2002,Korea/Japan,Australia,Did not qualify,0.0,0.0,0.0,0,0,2002-05-31,,2002-05-15,Australia,48.0
2006,Germany,Australia,Round of 16,2.0,4.0,1.0,5,6,2006-06-09,0.5217391304347826,2006-05-17,Australia,42.0
2010,South Africa,Australia,Group stage,1.0,3.0,1.0,3,6,2010-06-11,0.2608695652173913,2010-05-26,Australia,20.0
2014,Brazil,Australia,Group stage,1.0,3.0,0.0,3,9,2014-06-12,0.0869565217391304,2014-06-05,Australia,62.0
2018,Russia,Australia,Group stage,1.0,3.0,0.0,2,5,2018-06-14,0.0434782608695652,2018-06-07,Australia,36.0
2022,Qatar,Australia,Round of 16,2.0,4.0,2.0,4,6,2022-11-20,0.0769230769230769,2022-10-06,Australia,38.0
1994,USA,Austria,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,Austria,36.0
1998,France,Austria,Group stage,1.0,3.0,0.0,3,4,1998-06-10,0.4545454545454545,1998-05-20,Austria,31.0
2002,Korea/Japan,Austria,Did not qualify,0.0,0.0,0.0,0,0,2002-05-31,,2002-05-15,Austria,61.0
2006,Germany,Austria,Did not qualify,0.0,0.0,0.0,0,0,2006-06-09,,2006-05-17,Austria,79.0
2010,South Africa,Austria,Did not qualify,0.0,0.0,0.0,0,0,2010-06-11,,2010-05-26,Austria,68.0
2014,Brazil,Austria,Did not qualify,0.0,0.0,0.0,0,0,2014-06-12,,2014-06-05,Austria,42.0
2018,Russia,Austria,Did not qualify,0.0,0.0,0.0,0,0,2018-06-14,,2018-06-07,Austria,26.0
