world_cup_year,team,host_country,max_stage,max_stage_numeric,matches_played,matches_won,goals_for,goals_against,Big5_flag,start_date,rank_date,clean_country,rank,gdp_per_capita_tminus0,gdp_per_capita_tminus1,gdp_per_capita_tminus2,gdp_per_capita_tminus3,norm_gdp_per_capita_tminus0,norm_gdp_per_capita_tminus1,norm_gdp_per_capita_tminus2,norm_gdp_per_capita_tminus3,hdi_tminus0,hdi_tminus1,hdi_tminus2,hdi_tminus3,norm_hdi_tminus0,norm_hdi_tminus1,norm_hdi_tminus2,norm_hdi_tminus3,life_expectancy_tminus0,life_expectancy_tminus1,life_expectancy_tminus2,life_expectancy_tminus3,norm_life_expectancy_tminus0,norm_life_expectancy_tminus1,norm_life_expectancy_tminus2,norm_life_expectancy_tminus3,mean_school_years_tminus0,mean_school_years_tminus1,mean_school_years_tminus2,mean_school_years_tminus3,norm_mean_school_years_tminus0,norm_mean_school_years_tminus1,norm_mean_school_years_tminus2,norm_mean_school_years_tminus3,median_age_tminus0,median_age_tminus1,median_age_tminus2,median_age_tminus3,norm_median_age_tminus0,norm_median_age_tminus1,norm_median_age_tminus2,norm_median_age_tminus3,skew_tminus0,skew_tminus1,skew_tminus2,skew_tminus3,norm_skew_tminus0,norm_skew_tminus1,norm_skew_tminus2,norm_skew_tminus3
1994,Algeria,USA,Did not qualify,0.0,0.0,0.0,0.0,0.0,,1994-06-17,1994-06-14,Algeria,48.0,1525.54061760288,1831.04800976449,1802.69300801289,1759.11201648229,-0.4206880886333877,-0.4040671182392495,-0.4056097573266526,-0.4079807584499057,0.603,0.603,0.601,0.596,-0.4298258875955604,-0.4298258875955604,-0.4418973644306211,-0.4720760565182728,67.284,67.797,67.725,67.692,-0.1410047993406199,-0.0872082085036502,-0.0947586072176113,-0.0982192066281768,4.649519216,4.466412527,4.283305838,4.100199149,-0.9420094537550082,-0.9973458140242824,-1.0526821742935566,-1.1080185345628313,19,19,19,18,-1.512659579343841,-1.512659579343841,-1.512659579343841,-1.6311355657471829,4.2937982456767685,4.009974154827905,3.751260089375823,4.525632238276806,1.410750587141282,1.246344052558323,1.0964826266954448,1.545041595377788
1998,Algeria,France,Did not qualify,0.0,0.0,0.0,0.0,0.0,,1998-06-10,1998-05-20,Algeria,57.0,1603.36623200836,1628.76100561506,1616.83198721285,1466.94806760415,-0.4164540266560761,-0.4150724372375801,-0.4157214292645533,-0.4238757857688168,0.634,0.624,0.615,0.608,-0.2427179966521202,-0.3030753808274235,-0.3573970265851965,-0.3996471955079088,69.327,68.859,68.219,67.691,0.0732377641680165,0.024160172527271,-0.0429544827079359,-0.0983240732769808,5.298504949,5.143211934,4.98791892,4.832625905,-0.7458805819642728,-0.7928114192388293,-0.8397422562111773,-0.8866730934857338,20,20,20,19,-1.3941835929404995,-1.3941835929404995,-1.3941835929404995,-1.512659579343841,4.576275549189852,4.227060710918426,3.9052795341529,4.594362900381729,1.5743769883746244,1.3720925338963532,1.1856991660612826,1.584854177679971
2002,Algeria,Korea/Japan,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2002-05-31,2002-05-15,Algeria,79.0,1937.46411413019,1896.30020878013,1772.92869122761,1596.11822239025,-0.3982776055613168,-0.4005171063710665,-0.407229069463716,-0.4168483508405964,0.669,0.659,0.651,0.643,-0.0314671520385586,-0.0918245362138619,-0.1401104435541045,-0.1883963508943472,71.644,71.025,70.576,70.088,0.3162137894492276,0.2513013338389259,0.2042162085254747,0.1530412839086294,5.757430575,5.683260777,5.609090978,5.453797964,-0.6071894510403869,-0.6296041792277733,-0.652018907717368,-0.6989497446897164,22,22,21,21,-1.1572316201338164,-1.1572316201338164,-1.275707606537158,-1.275707606537158,4.021581542998508,3.6665523398122346,4.310013956979692,3.946261928083242,1.2530676906363332,1.0474152359872806,1.4201436196112809,1.2094384242223846
2006,Algeria,Germany,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2006-06-09,2006-05-17,Algeria,87.0,3660.66104745322,3233.13339634212,2816.99384960555,2283.77299346126,-0.3045279747933616,-0.3277873937603308,-0.3504272488459969,-0.3794368515295975,0.698,0.692,0.685,0.677,0.1435692620698203,0.1073548315646383,0.0651046626419266,0.016818755301684,73.116,72.836,72.536,71.906,0.4705774964902031,0.4412148348247999,0.4097548401832969,0.3436888514361405,6.170000076,5.979939969,5.905770171,5.831600373,-0.4825075256113779,-0.5399452664782276,-0.5623599946656139,-0.5847747228530006,24,24,23,23,-0.9202796473271332,-0.9202796473271332,-1.0387556337304746,-1.0387556337304746,3.2523956008632737,2.984746044828757,3.688878646582904,3.3665484334624978,0.8075128583521282,0.6524755045507055,1.0603478616682922,0.8736364617585097
2010,Algeria,South Africa,Group stage,1.0,3.0,0.0,0.0,2.0,0.4782608695652174,2010-06-11,2010-05-26,Algeria,30.0,4912.78585503672,4235.42990456612,5180.91881514686,4167.45169937531,-0.2364067774326042,-0.2732579747781324,-0.2218191435290495,-0.276956293591071,0.718,0.714,0.711,0.704,0.2642840304204269,0.2401410767503055,0.2220338614977146,0.1797836925750023,74.144,73.871,73.618,73.346,0.5783804114617549,0.5497518163379859,0.5232205541903181,0.494696825715356,5.816666603,6.053333282,6.289999962,6.230000019,-0.5892878320212761,-0.5177651984987143,-0.4462425646739442,-0.464375045142661,26,25,25,25,-0.6833276745204498,-0.8018036609237915,-0.8018036609237915,-0.8018036609237915,2.0622624167459307,2.8903651813889653,2.70233200422058,2.4915029551835417,0.1181222153389977,0.5978049138947967,0.4888857486737601,0.3667619598229486
2014,Algeria,Brazil,Round of 16,2.0,4.0,1.0,7.0,7.0,0.4782608695652174,2014-06-12,2014-06-05,Algeria,22.0,6094.69392314956,5979.60138960585,6033.64884689543,5916.31364364343,-0.1721056851752198,-0.178367234459122,-0.1754268107229482,-0.1818103712831131,0.732,0.727,0.723,0.718,0.3487843682658515,0.3186056761781999,0.2944627225080786,0.2642840304204269,74.992,74.809,74.609,74.383,0.667307329648404,0.6481167329170863,0.6271434031560839,0.6034435405261515,6.120101154,5.94006741,5.760033667,5.579999924,-0.4975873937468364,-0.5519950845473091,-0.6064027750455735,-0.6608104655438378,27,27,26,26,-0.5648516881171083,-0.5648516881171083,-0.6833276745204498,-0.6833276745204498,1.6059377890293796,1.4888805033840278,2.3624342117601067,2.2219782577883755,-0.146206124314477,-0.2140121467810047,0.2919982399224995,0.2106384209410574
2018,Algeria,Russia,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2018-06-14,2018-06-07,Algeria,66.0,4577.21029180491,4554.66753957828,4424.98529027556,4685.05902729002,-0.2546635909977623,-0.2558900176799782,-0.2629453128433946,-0.2487961367706809,0.749,0.746,0.743,0.737,0.4513919213638672,0.4332847061112762,0.4151774908586851,0.3789630603535032,75.555,75.431,75.31,75.159,0.7263472529256254,0.7133437884738031,0.7006549239683972,0.684820059998841,6.840236127,6.660202384,6.480168641,6.300134897,-0.2799566314515709,-0.3343643219498353,-0.3887720124480996,-0.443179703248572,28,28,27,27,-0.4463757017137666,-0.4463757017137666,-0.5648516881171083,-0.5648516881171083,1.0836231166495764,0.949028502494116,1.828900327120305,1.7151517575331994,-0.4487595298093048,-0.526724138171648,-0.0170539507984181,-0.0829433828182776
2022,Algeria,,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2022-11-20,2022-10-06,Algeria,37.0,4961.55257664733,4160.55926736925,3743.5419522929,4468.45341883656,-0.2337536493679308,-0.2773312727609883,-0.3000188823755552,-0.2605804519711615,0.761,0.755,0.742,0.753,0.5238207823742311,0.4876063518690491,0.4091417524411548,0.4755348750339885,76.129,75.208,73.257,75.682,0.7865407093397015,0.6899585257902857,0.4853636939717102,0.7396653173238613,7.416386987,7.416386987,7.215610724,7.020269871,-0.1058390624401392,-0.1058390624401392,-0.1665153145397366,-0.2255489406510982,28,28,28,28,-0.4463757017137666,-0.4463757017137666,-0.4463757017137666,-0.4463757017137666,1.7540292522727228,1.5403740868828812,1.3786639240176015,1.2359484032931078,-0.0604233981183324,-0.1841842291050072,-0.2778556556707096,-0.3605243400778086
1994,Angola,USA,Did not qualify,0.0,0.0,0.0,0.0,0.0,,1994-06-17,1994-06-14,Angola,124.0,334.973590276074,449.727894936295,668.706017459877,881.919488130062,-0.4854602670524557,-0.479217118934624,-0.4673037283430696,-0.4557039606301955,0.379,0.379,0.379,0.379,-1.7818312931223532,-1.7818312931223532,-1.7818312931223532,-1.7818312931223532,43.567,42.19,42.267,43.812,-2.628127109049064,-2.7725284844535647,-2.7644537524955783,-2.602434780091837,3.387140553,3.387140553,3.387140553,3.387140553,-1.3235107570307876,-1.3235107570307876,-1.3235107570307876,-1.3235107570307876,17,17,17,17,-1.7496115521505244,-1.7496115521505244,-1.7496115521505244,-1.7496115521505244,4.331683782002301,4.344712453120376,4.362042787129877,4.38220747761358,1.4326959749322514,1.4402428983182738,1.4502815816067347,1.461962080162895
1998,Angola,France,Did not qualify,0.0,0.0,0.0,0.0,0.0,,1998-06-10,1998-05-20,Angola,56.0,429.188126933192,521.70291489053,531.115366543271,404.29481849612,-0.4803345743044157,-0.4753013554982224,-0.4747892759732408,-0.4816888817717971,0.379,0.379,0.379,0.379,-1.7818312931223532,-1.7818312931223532,-1.7818312931223532,-1.7818312931223532,45.452,46.688,46.418,46.139,-2.430453476051619,-2.300838298128625,-2.3291522933059783,-2.358410088322576,3.387140553,3.387140553,3.387140553,3.387140553,-1.3235107570307876,-1.3235107570307876,-1.3235107570307876,-1.3235107570307876,17,16,16,17,-1.7496115521505244,-1.868087538553866,-1.868087538553866,-1.7496115521505244,4.3896272074631,5.368678916776734,5.348699415347152,4.334212021537866,1.4662599960602136,2.03338063132542,2.021807404461877,1.4341604704209698
