world_cup_year,host_country,team,max_stage,max_stage_numeric,matches_played,matches_won,goals_for,goals_against
1986,Mexico,Algeria,Group stage,1.0,3.0,0.0,1.0,5.0
1990,Italy,Algeria,Did not qualify,0.0,0.0,0.0,0.0,0.0
1994,USA,Algeria,Did not qualify,0.0,0.0,0.0,0.0,0.0
1998,France,Algeria,Did not qualify,0.0,0.0,0.0,0.0,0.0
2002,Korea/Japan,Algeria,Did not qualify,0.0,0.0,0.0,0.0,0.0
2006,Germany,Algeria,Did not qualify,0.0,0.0,0.0,0.0,0.0
2010,South Africa,Algeria,Group stage,1.0,3.0,0.0,0.0,2.0
2014,Brazil,Algeria,Round of 16,2.0,4.0,1.0,7.0,7.0
2018,Russia,Algeria,Did not qualify,0.0,0.0,0.0,0.0,0.0
1986,Mexico,Angola,Did not qualify,0.0,0.0,0.0,0.0,0.0
1990,Italy,Angola,Did not qualify,0.0,0.0,0.0,0.0,0.0
1994,USA,Angola,Did not qualify,0.0,0.0,0.0,0.0,0.0
1998,France,Angola,Did not qualify,0.0,0.0,0.0,0.0,0.0
2002,Korea/Japan,Angola,Did not qualify,0.0,0.0,0.0,0.0,0.0
2006,Germany,Angola,Group stage,1.0,3.0,0.0,1.0,2.0
2010,South Africa,Angola,Did not qualify,0.0,0.0,0.0,0.0,0.0
2014,Brazil,Angola,Did not qualify,0.0,0.0,0.0,0.0,0.0
2018,Russia,Angola,Did not qualify,0.0,0.0,0.0,0.0,0.0
1986,Mexico,Argentina,Winner,7.0,7.0,6.0,14.0,5.0
1990,Italy,Argentina,Runners-up,6.0,7.0,4.0,5.0,4.0
1994,USA,Argentina,Round of 16,2.0,4.0,2.0,8.0,6.0
1998,France,Argentina,Quarter-finals,3.0,5.0,4.0,10.0,4.0
2002,Korea/Japan,Argentina,Group stage,1.0,3.0,1.0,2.0,2.0
2006,Germany,Argentina,Quarter-finals,3.0,5.0,3.0,11.0,3.0
2010,South Africa,Argentina,Quarter-finals,3.0,5.0,4.0,10.0,6.0
2014,Brazil,Argentina,Runners-up,6.0,7.0,6.0,8.0,4.0
2018,Russia,Argentina,Round of 16,2.0,4.0,1.0,6.0,9.0
1986,Mexico,Australia,Did not qualify,0.0,0.0,0.0,0.0,0.0
1990,Italy,Australia,Did not qualify,0.0,0.0,0.0,0.0,0.0
1994,USA,Australia,Did not qualify,0.0,0.0,0.0,0.0,0.0
1998,France,Australia,Did not qualify,0.0,0.0,0.0,0.0,0.0
2002,Korea/Japan,Australia,Did not qualify,0.0,0.0,0.0,0.0,0.0
2006,Germany,Australia,Round of 16,2.0,4.0,1.0,5.0,6.0
2010,South Africa,Australia,Group stage,1.0,3.0,1.0,3.0,6.0
2014,Brazil,Australia,Group stage,1.0,3.0,0.0,3.0,9.0
2018,Russia,Australia,Group stage,1.0,3.0,0.0,2.0,5.0
1986,Mexico,Austria,Did not qualify,0.0,0.0,0.0,0.0,0.0
1990,Italy,Austria,Group stage,1.0,3.0,1.0,2.0,3.0
1994,USA,Austria,Did not qualify,0.0,0.0,0.0,0.0,0.0
1998,France,Austria,Group stage,1.0,3.0,0.0,3.0,4.0
2002,Korea/Japan,Austria,Did not qualify,0.0,0.0,0.0,0.0,0.0
2006,Germany,Austria,Did not qualify,0.0,0.0,0.0,0.0,0.0
2010,South Africa,Austria,Did not qualify,0.0,0.0,0.0,0.0,0.0
2014,Brazil,Austria,Did not qualify,0.0,0.0,0.0,0.0,0.0
2018,Russia,Austria,Did not qualify,0.0,0.0,0.0,0.0,0.0
1986,Mexico,Belgium,Fourth place,4.0,7.0,3.0,12.0,15.0
1990,Italy,Belgium,Round of 16,2.0,4.0,2.0,6.0,4.0
1994,USA,Belgium,Round of 16,2.0,4.0,2.0,4.0,4.0
1998,France,Belgium,Group stage,1.0,3.0,0.0,3.0,3.0
