world_cup_year,host_country,team,max_stage,max_stage_numeric,matches_played,matches_won,goals_for,goals_against,start_date,Big5_flag
2010,South Africa,Algeria,Group stage,1.0,3.0,0.0,0,2,2010-06-11,0.4782608695652174
2014,Brazil,Algeria,Round of 16,2.0,4.0,1.0,7,7,2014-06-12,0.4782608695652174
2006,Germany,Angola,Group stage,1.0,3.0,0.0,1,2,2006-06-09,0.0
1994,USA,Argentina,Round of 16,2.0,4.0,2.0,8,6,1994-06-17,0.36363636363636365
1998,France,Argentina,Quarter-finals,3.0,5.0,4.0,10,4,1998-06-10,0.7272727272727273
2002,Korea/Japan,Argentina,Group stage,1.0,3.0,1.0,2,2,2002-05-31,0.7391304347826086
2006,Germany,Argentina,Quarter-finals,3.0,5.0,3.0,11,3,2006-06-09,0.7391304347826086
2010,South Africa,Argentina,Quarter-finals,3.0,5.0,4.0,10,6,2010-06-11,0.6086956521739131
2014,Brazil,Argentina,Runners-up,6.0,7.0,6.0,8,4,2014-06-12,0.6956521739130435
2018,Russia,Argentina,Round of 16,2.0,4.0,1.0,6,9,2018-06-14,0.6086956521739131
2022,Qatar,Argentina,Winner,7.0,7.0,6.0,15,8,2022-11-20,0.8076923076923077
2006,Germany,Australia,Round of 16,2.0,4.0,1.0,5,6,2006-06-09,0.5217391304347826
2010,South Africa,Australia,Group stage,1.0,3.0,1.0,3,6,2010-06-11,0.2608695652173913
2014,Brazil,Australia,Group stage,1.0,3.0,0.0,3,9,2014-06-12,0.08695652173913043
2018,Russia,Australia,Group stage,1.0,3.0,0.0,2,5,2018-06-14,0.043478260869565216
2022,Qatar,Australia,Round of 16,2.0,4.0,2.0,4,6,2022-11-20,0.07692307692307693
1998,France,Austria,Group stage,1.0,3.0,0.0,3,4,1998-06-10,0.45454545454545453
1994,USA,Belgium,Round of 16,2.0,4.0,2.0,4,4,1994-06-17,0.09090909090909091
1998,France,Belgium,Group stage,1.0,3.0,0.0,3,3,1998-06-10,0.18181818181818182
2002,Korea/Japan,Belgium,Round of 16,2.0,4.0,1.0,6,7,2002-05-31,0.30434782608695654
2014,Brazil,Belgium,Quarter-finals,3.0,5.0,4.0,6,3,2014-06-12,0.7391304347826086
2018,Russia,Belgium,Third place,5.0,7.0,6.0,16,6,2018-06-14,0.8260869565217391
2022,Qatar,Belgium,Group stage,1.0,3.0,1.0,1,2,2022-11-20,0.6923076923076923
1994,USA,Bolivia,Group stage,1.0,3.0,0.0,1,4,1994-06-17,0.0
2014,Brazil,Bosnia and Herzegovina,Group stage,1.0,3.0,1.0,4,4,2014-06-12,0.34782608695652173
1994,USA,Brazil,Winner,7.0,7.0,6.0,11,3,1994-06-17,0.45454545454545453
1998,France,Brazil,Runners-up,6.0,7.0,5.0,14,10,1998-06-10,0.4090909090909091
2002,Korea/Japan,Brazil,Winner,7.0,7.0,7.0,18,4,2002-05-31,0.391304347826087
2006,Germany,Brazil,Quarter-finals,3.0,5.0,4.0,10,2,2006-06-09,0.6521739130434783
2010,South Africa,Brazil,Quarter-finals,3.0,5.0,3.0,9,4,2010-06-11,0.6956521739130435
2014,Brazil,Brazil,Fourth place,4.0,7.0,4.0,11,14,2014-06-12,0.6956521739130435
2018,Russia,Brazil,Quarter-finals,3.0,5.0,3.0,8,3,2018-06-14,0.7391304347826086
2022,Qatar,Brazil,Quarter-finals,3.0,5.0,3.0,8,3,2022-11-20,0.8461538461538461
1994,USA,Bulgaria,Fourth place,4.0,7.0,4.0,10,11,1994-06-17,0.18181818181818182
1998,France,Bulgaria,Group stage,1.0,3.0,0.0,1,7,1998-06-10,0.22727272727272727
1994,USA,Cameroon,Group stage,1.0,3.0,0.0,3,11,1994-06-17,0.18181818181818182
1998,France,Cameroon,Group stage,1.0,3.0,0.0,2,5,1998-06-10,0.3181818181818182
2002,Korea/Japan,Cameroon,Group stage,1.0,3.0,1.0,2,3,2002-05-31,0.5652173913043478
2010,South Africa,Cameroon,Group stage,1.0,3.0,0.0,2,5,2010-06-11,0.6521739130434783
2014,Brazil,Cameroon,Group stage,1.0,3.0,0.0,1,9,2014-06-12,0.4782608695652174
2022,Qatar,Cameroon,Group stage,1.0,3.0,1.0,4,4,2022-11-20,0.38461538461538464
2022,Qatar,Canada,Group stage,1.0,3.0,0.0,2,7,2022-11-20,0.11538461538461539
1998,France,Chile,Round of 16,2.0,4.0,0.0,5,8,1998-06-10,0.045454545454545456
2010,South Africa,Chile,Round of 16,2.0,4.0,2.0,3,5,2010-06-11,0.17391304347826086
2014,Brazil,Chile,Round of 16,2.0,4.0,2.0,6,4,2014-06-12,0.43478260869565216
2002,Korea/Japan,China,Group stage,1.0,3.0,0.0,0,9,2002-05-31,0.0
1994,USA,Colombia,Group stage,1.0,3.0,1.0,4,5,1994-06-17,0.13636363636363635
1998,France,Colombia,Group stage,1.0,3.0,1.0,1,3,1998-06-10,0.13636363636363635
2014,Brazil,Colombia,Quarter-finals,3.0,5.0,4.0,12,4,2014-06-12,0.5652173913043478
2018,Russia,Colombia,Round of 16,2.0,4.0,2.0,6,3,2018-06-14,0.5217391304347826
2002,Korea/Japan,Costa Rica,Group stage,1.0,3.0,1.0,5,6,2002-05-31,0.043478260869565216
2006,Germany,Costa Rica,Group stage,1.0,3.0,0.0,3,9,2006-06-09,0.0
2014,Brazil,Costa Rica,Quarter-finals,3.0,5.0,2.0,5,2,2014-06-12,0.08695652173913043
2018,Russia,Costa Rica,Group stage,1.0,3.0,0.0,2,5,2018-06-14,0.21739130434782608
2022,Qatar,Costa Rica,Group stage,1.0,3.0,1.0,3,11,2022-11-20,0.038461538461538464
1998,France,Croatia,Third place,5.0,7.0,5.0,11,5,1998-06-10,0.45454545454545453
2002,Korea/Japan,Croatia,Group stage,1.0,3.0,1.0,2,3,2002-05-31,0.4782608695652174
2006,Germany,Croatia,Group stage,1.0,3.0,0.0,2,3,2006-06-09,0.2608695652173913
2014,Brazil,Croatia,Group stage,1.0,3.0,1.0,6,6,2014-06-12,0.5652173913043478
2018,Russia,Croatia,Runners-up,6.0,7.0,6.0,14,9,2018-06-14,0.6521739130434783
2022,Qatar,Croatia,Third place,5.0,7.0,4.0,8,7,2022-11-20,0.5384615384615384
2006,Germany,Czech Republic,Group stage,1.0,3.0,1.0,3,4,2006-06-09,0.4782608695652174
1998,France,Denmark,Quarter-finals,3.0,5.0,2.0,9,7,1998-06-10,0.3181818181818182
2002,Korea/Japan,Denmark,Round of 16,2.0,4.0,2.0,5,5,2002-05-31,0.391304347826087
2010,South Africa,Denmark,Group stage,1.0,3.0,1.0,3,6,2010-06-11,0.43478260869565216
2018,Russia,Denmark,Round of 16,2.0,4.0,1.0,3,2,2018-06-14,0.5652173913043478
2022,Qatar,Denmark,Group stage,1.0,3.0,0.0,1,3,2022-11-20,0.7307692307692307
2002,Korea/Japan,Ecuador,Group stage,1.0,3.0,1.0,2,4,2002-05-31,0.043478260869565216
2006,Germany,Ecuador,Round of 16,2.0,4.0,2.0,5,4,2006-06-09,0.043478260869565216
2014,Brazil,Ecuador,Group stage,1.0,3.0,1.0,3,3,2014-06-12,0.08695652173913043
2022,Qatar,Ecuador,Group stage,1.0,3.0,1.0,4,3,2022-11-20,0.07692307692307693
2018,Russia,Egypt,Group stage,1.0,3.0,0.0,2,6,2018-06-14,0.21739130434782608
1998,France,England,Round of 16,2.0,4.0,2.0,7,4,1998-06-10,0.9545454545454546
2002,Korea/Japan,England,Quarter-finals,3.0,5.0,2.0,6,3,2002-05-31,1.0
2006,Germany,England,Quarter-finals,3.0,5.0,3.0,6,2,2006-06-09,1.0
2010,South Africa,England,Round of 16,2.0,4.0,1.0,3,5,2010-06-11,1.0
2014,Brazil,England,Group stage,1.0,3.0,0.0,2,4,2014-06-12,0.9565217391304348
2018,Russia,England,Fourth place,4.0,7.0,4.0,12,8,2018-06-14,1.0
2022,Qatar,England,Quarter-finals,3.0,5.0,3.0,13,4,2022-11-20,1.0
1998,France,France,Winner,7.0,7.0,7.0,15,2,1998-06-10,1.0
2002,Korea/Japan,France,Group stage,1.0,3.0,0.0,0,3,2002-05-31,1.0
2006,Germany,France,Runners-up,6.0,7.0,4.0,9,3,2006-06-09,1.0
2010,South Africa,France,Group stage,1.0,3.0,0.0,1,4,2010-06-11,0.9565217391304348
2014,Brazil,France,Quarter-finals,3.0,5.0,3.0,10,3,2014-06-12,0.9565217391304348
2018,Russia,France,Winner,7.0,7.0,6.0,14,6,2018-06-14,1.0
2022,Qatar,France,Runners-up,6.0,7.0,5.0,16,8,2022-11-20,1.0
1994,USA,Germany,Quarter-finals,3.0,5.0,3.0,9,7,1994-06-17,0.9545454545454546
1998,France,Germany,Quarter-finals,3.0,5.0,3.0,8,6,1998-06-10,0.9090909090909091
2002,Korea/Japan,Germany,Runners-up,6.0,7.0,5.0,14,3,2002-05-31,0.782608695652174
2006,Germany,Germany,Third place,5.0,7.0,6.0,14,6,2006-06-09,0.8695652173913043
2010,South Africa,Germany,Third place,5.0,7.0,5.0,16,5,2010-06-11,0.9130434782608695
